job_titles1,year,Location,Level,StandardJobTitle,YearsOfExperience
 Software Tester, 2021, - Maadi Cairo,Experienced,Software Engneering ,2
 Java Developer, 2021, - 6th Of October Giza,Experienced,Software Engneering ,2
 Software Engineer, 2021, - Maadi Cairo,Entry Level,Software Engneering ,1
 SQL Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 Software Engineer, 2021, - Maadi Cairo,Entry Level,Software Engneering ,1
 Sales Account Manager- Construction Software, - 6th Of October,un known,Experienced,Software Engneering ,5
 Junior Software Testing Engineer, 2021, - Maadi Cairo,Entry Level,Software Engneering ,0
 Oracle Developer, - Dokki,un known,Experienced,Software Engneering ,2
 Software Engineer-Internship, 2021, - Cairo Egypt,Manager,Software Engneering ,22
 Laravel Software Engineer -Alexandria, 2021, - Alexandria Egypt,Entry Level,Software Engneering ,1
 Senior Software Engineer, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Senior Software Quality Assurance Engineer, 2021, - 6th Of October Giza,Experienced,Software Engneering ,5
 Software Tester, 2021, - Haram Giza,Entry Level,Software Engneering ,2
 HR Specialist / IT Recruiter, 2021, - Sheikh Zayed Giza,Experienced,IT Category,3
 IT Project & Budgeting Support Specialist, 2021, - Cairo Egypt,Experienced,IT Category,3
 Backend Developer PHP Symfony - GoLodger.com, 2021, - Nasr City Cairo,Experienced,Software Engneering ,2
 Software Test & Verification Engineer, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Full Stack & React Native Developer, - Cairo,un known,Experienced,Software Engneering ,3
 Fresh / Experienced Accountant -(Multinational)..., 2021, - Cairo Egypt,Entry Level,Software Engneering ,1
 Software Tester, 2021, - Dokki Giza,Experienced,Software Engneering ,2
 Senior Software Engineer - Full Stack, 2021, - Sheraton Cairo,Experienced,Software Engneering ,3
 Associate Software Engineer, 2021, - Maadi Cairo,Entry Level,Software Engneering ,0
 Software Architect Manager, 2021, - 6th Of October Giza,Manager,Software Engneering ,10
 Senior IT Support Specialist, 2021, - Cairo Egypt,Experienced,IT Category,2
 Outdoor Sales Agent For IT Services, 2021, - 6th Of October Giza,Entry Level,IT Category,1
 IT Demand Engineer Trainee, 2021, - Cairo Egypt,Entry Level,IT Category,0
 Senior Software QC Engineer, 2021, - Maadi Cairo,Experienced,Software Engneering ,4
 Technical Software Project Manager, 2021, - Cairo Egypt,Experienced,Software Engneering ,5
 IT System Administrator (Outsource), 2021, - Cairo Egypt,Experienced,IT Category,3
 Global IT Infrastructure Service Delivery Manager, 2021, - Cairo Egypt,Manager,IT Category,7
 Software Project Manager, 2021, - Maadi Cairo,Manager,Software Engneering ,9
 Software Sales Executive, 2021, - New Cairo Cairo,Entry Level,Software Engneering ,1
 Software Tester, 2021, - Giza Egypt,Entry Level,Software Engneering ,1
 Healthcare Software Implementer / HIS..., 2021, - Heliopolis Cairo,Experienced,Software Engneering ,2
 NodeJS Software Engineer - Jumia Pay, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Software Tester, 2021, - Mohandessin Giza,Entry Level,Software Engneering ,1
 Senior Java Developer, 2021, - Giza Egypt,Experienced,Software Engneering ,5
 Software Project Manager, - Nasr City,un known,Experienced,Software Engneering ,3
 Software Quality Control Engineer, 2021, - Sheraton Cairo,Experienced,Software Engneering ,2
 IT Internship - Alexandria, 2021, - Alexandria Egypt,Entry Level,IT Category,0
 Senior Software Engineer, 2021, - Maadi Cairo,Experienced,Software Engneering ,5
 Associate Software Engineer, 2021, - Maadi Cairo,Experienced,Software Engneering ,2
 Mobile Developer (Flutter Developer), 2021, - 6th Of October Giza,Experienced,Software Engneering ,2
 Go Software Engineer - Jumia Pay, 2021, - Cairo Egypt,Experienced,Software Engneering ,2
 Software Testing Team Lead, 2021, - Maadi Cairo,Manager,Software Engneering ,4
 IT Project Manager, 2021, - New Nozha Cairo,Manager,IT Category,8
 IT Specialist, 2021, - Cairo Egypt,Experienced,IT Category,3
 Software Architect / DevOps Expert, 2021, - Nasr City Cairo,Experienced,Software Engneering ,7
 Mean Stack Software Engineer, 2021, - Dokki Giza,Entry Level,Software Engneering ,1
 Software Project Manager, 2021, - New Cairo Cairo,Experienced,Software Engneering ,3
 Software Project Manager, 2021, - 6th Of October Giza,Experienced,Software Engneering ,5
 Senior Software Quality Assurance Specialist, 2021, - Nasr City Cairo,Experienced,Software Engneering ,5
 Senior Quality Assurance Specialist - Software, 2021, - Nasr City Cairo,Experienced,Software Engneering ,4
 IT Network & Systems Infrastructure Supervisor, - Giza,un known,Manager,IT Category,3
 Backend Developer, 2021, - New Cairo Cairo,Experienced,Software Engneering ,2
 Senior Software Quality Control Tester -..., 2021, - San Stefano Alexandria,Experienced,Software Engneering ,3
 Software Sales Representative, - Giza,un known,Experienced,Software Engneering ,3
 Software Team Lead, 2021, - Heliopolis Cairo,Manager,Software Engneering ,8
 Senior Software Tester - Quality Assurance, 2021, - Nasr City Cairo,Experienced,Software Engneering ,2
 Senior Software QA Engineer - Web & Desktop, 2021, - New Cairo Cairo,Experienced,Software Engneering ,5
